,School Year,Dates,Reason,Start Date,End Date,Closure
62,2020-2021,September 16-18 2020,Fully remote partial school days for students.,9/16/20,9/18/20,1
63,2020-2021,9/21/20,First full day of school; blended learning commences.,9/21/20,9/21/20,0
64,2020-2021,9/28/20,"Yom Kippur, schools closed",9/28/20,9/28/20,1
65,2020-2021,10/12/20,"Columbus Day, schools closed",10/12/20,10/12/20,1
66,2020-2021,11/3/20,"Election Day, fully remote instructional day for all students",11/3/20,11/3/20,1
67,2020-2021,11/4/20,Evening parent teacher conferences for elementary schools and K-8 schools.,11/4/20,11/4/20,0
68,2020-2021,11/5/20,Afternoon parent teacher conferences for elementary schools and K-8 schools; students in these schools dismissed three hours early.,11/5/20,11/5/20,1
69,2020-2021,11/11/20,"Veterans Day, schools closed",11/11/20,11/11/20,1
70,2020-2021,11/12/20,"Evening parent teacher conferences for high schools, K-12, and 6-12 schools.",11/12/20,11/12/20,0
71,2020-2021,11/13/20,"Afternoon parent teacher conferences for high schools, K-12, and 6-12 schools; students in these schools dismissed three hours early.",11/13/20,11/13/20,1
72,2020-2021,11/18/20,Evening parent teacher conferences for middle schools and District 75 school programs.,11/18/20,11/18/20,0
73,2020-2021,11/19/20,Afternoon Conferences for middle schools and District 75 school programs; students in these schools dismissed three hours early.,11/19/20,11/19/20,1
74,2020-2021,November 26-27 2020,"Thanksgiving Recess, schools closed",11/26/20,11/27/20,1
75,2020-2021,1/1/21,"Winter Recess, schools closed",1/1/21,1/1/21,1
76,2020-2021,December 24-31 2020,"Winter Recess, schools closed",12/24/20,12/31/20,1
77,2020-2021,1/18/21,"Rev. Dr. Martin Luther King Jr. Day, schools closed",1/18/21,1/18/21,1
78,2020-2021,2/1/21,"Professional Development Day for 9-12 and 6-12 schools in Districts 1- 32 only; students in these schools do not attend. 
Students in K-5, K-6, 6-8, and K-12 and D75 schools and programs are in attendance.",2/1/21,2/1/21,1
79,2020-2021,2/12/21,"Lunar New Year, schools closed",2/12/21,2/12/21,1
80,2020-2021,February 15-19 2021,"Midwinter Recess (includes Presidents’ Day and Lincoln’s Birthday),  schools closed",2/15/21,2/19/21,1
81,2020-2021,3/3/21,Evening parent teacher conferences for elementary schools and K-8 Schools.,3/3/21,3/3/21,0
82,2020-2021,3/4/21,Afternoon parent teacher conferences for elementary schools and K-8 schools; students in these schools dismissed three hours early.,3/4/21,3/4/21,1
83,2020-2021,3/10/21,Evening parent teacher conferences for middle schools and district 75 schools and programs.,3/10/21,3/10/21,0
84,2020-2021,3/11/21,Afternoon parent teacher conferences for middle schools and district 75 schools and programs; students in these schools dismissed three hours early.,3/11/21,3/11/21,1
85,2020-2021,3/18/21,"Evening parent teacher conferences for high schools, K-12, and 6-12 schools.",3/18/21,3/18/21,0
86,2020-2021,3/19/21,"Afternoon parent teacher conferences for high schools, K-12, and 6-12 schools; students in these schools dismissed three hours early.",3/19/21,3/19/21,1
87,2020-2021,April 1-2 2021,"Spring Recess, schools closed",4/1/21,4/2/21,1
88,2020-2021,March 29-31 2021,"Spring Recess, schools closed",3/29/21,3/31/21,1
89,2020-2021,5/13/21,"Eid Al-Fitr, schools closed",5/13/21,5/13/21,1
90,2020-2021,5/31/21,"Memorial Day, schools closed",5/31/21,5/31/21,1
91,2020-2021,6/3/21,Anniversary Day. Chancellor’s Conference Day for staff development.  Students not in attendance.,6/3/21,6/3/21,1
92,2020-2021,6/8/21,"Clerical Day for K-5, K-6, 6-8, and K-12 and D75 schools and programs only; students in these schools do not attend. 
Students in 9-12 and 6-12 schools in Districts 1-32 are in attendance.",6/8/21,6/8/21,1
93,2020-2021,6/25/21,Last day of school for all students.,6/25/21,6/25/21,0
94,2019-2020,9/5/19,First Day of School (partial school day for pre-k public school students),9/5/19,9/5/19,0
95,2019-2020,9/12/19,Parent Teacher Conferences (elementary schools and k-8 schools),9/12/19,9/12/19,0
96,2019-2020,9/18/19,Parent Teacher Conferences (middle schools),9/18/19,9/18/19,0
97,2019-2020,9/26/19,"Parent Teacher Conferences (high schools, k-12 and 6-12 schools)",9/26/19,9/26/19,0
98,2019-2020,9/30/22,Rosh Hashanah SCHOOLS ARE CLOSED,9/30/19,9/30/19,1
99,2019-2020,10/1/22,Rosh Hashanah SCHOOLS ARE CLOSED,10/1/19,10/1/19,1
100,2019-2020,9/19/19,Yom Kippur SCHOOLS ARE CLOSED,9/19/19,9/19/19,1
101,2019-2020,10/14/19,Columbus Day SCHOOLS ARE CLOSED,10/14/19,10/14/19,1
102,2019-2020,11/5/19,"Election Day, students do not attend school",11/5/19,11/5/19,1
103,2019-2020,Nov 6-7 2019,"Parent Teacher Conferences (middle schools, District 75 programs)",11/6/19,11/7/19,0
104,2019-2020,11/11/19,Veterans Day SCHOOLS ARE CLOSED,11/11/19,11/11/19,1
105,2019-2020,Nov 21-22 2019,"Parent Teacher Conferences (high schools, k-12 and 6-12 schools)",11/21/19,11/22/19,0
106,2019-2020,Nov 28-29 2019,Thanksgiving Recess SCHOOLS ARE CLOSED,11/28/19,11/29/19,1
107,2019-2020,Dec 23-31 2019,Winter Recess SCHOOLS ARE CLOSED,12/23/19,12/31/19,1
108,2019-2020,1/1/20,Winter Recess SCHOOLS ARE CLOSED,1/1/20,1/1/20,1
109,2019-2020,1/20/20,Dr. Martin Luther King Jr. Day SCHOOLS ARE CLOSED,1/20/20,1/20/20,1
110,2019-2020,1/27/20,"January Clerical Day (high school and 6-12 school students do not attend, unless enrolled in a District 75 program)",1/27/20,1/27/20,1
111,2019-2020,Feb 17-21 2020,Midwinter Recess SCHOOLS ARE CLOSED,2/17/20,2/21/20,1
112,2019-2020,Mar 4-5 2020,Parent Teacher Conferences (elementary schools and k-8 schools),3/4/20,3/5/20,0
113,2019-2020,Mar 12-13  2020,Parent Teacher Conferences (middle schools and District 75 programs),3/12/20,3/13/20,0
114,2019-2020,Mar 19-20  2020,"Parent Teacher Conferences (high schools, k-12 and 6-12 schools)",3/19/20,3/20/20,0
115,2019-2020,Apr 9-17  2020,Cancelled,4/9/20,4/17/20,0
116,2019-2020,5/7/20,Parent Teacher Conferences (elementary schools and k-8 schools),5/7/20,5/7/20,0
117,2019-2020,5/14/20,Parent Teacher Conferences (middle schools),5/14/20,5/14/20,0
118,2019-2020,5/21/20,"Parent Teacher Conferences (high schools, k-12 and 6-12 schools)",5/21/20,5/21/20,0
119,2019-2020,5/25/20,Memorial Day SCHOOLS ARE CLOSED,5/25/20,5/25/20,1
120,2019-2020,6/4/20,"CANCELLED Anniversary Day/Chancellor’s Conference Day for Staff Development, students do not attend school",6/4/20,6/4/20,1
121,2019-2020,6/9/20,"CANCELLED June Clerical Day for Lower Grades, elementary school, middle school and District 75 students do not attend",6/9/20,6/9/20,1
122,2019-2020,6/26/20,Last Day of School,6/26/20,6/26/20,0
123,2018-2019,9/10/18,Rosh Hashanah (schools closed),9/10/18,9/10/18,1
124,2018-2019,9/11/18,Rosh Hashanah (schools closed),9/11/18,9/11/18,1
125,2018-2019,9/19/18,Yom Kippur (schools closed),9/19/18,9/19/18,1
126,2018-2019,10/8/18,Columbus Day Observed (schools closed),10/8/18,10/8/18,1
127,2018-2019,11/6/18,Election Day (students do not attend school),11/6/18,11/6/18,1
128,2018-2019,11/12/18,Veterans Day Observed (schools closed),11/12/18,11/12/18,1
129,2018-2019,11/22/18,Thanksgiving Recess (schools closed),11/22/18,11/22/18,1
130,2018-2019,11/23/18,Thanksgiving Recess (schools closed),11/23/18,11/23/18,1
131,2018-2019,Dec 24-31 2018,Winter Recess (schools closed),12/24/18,12/31/18,1
132,2018-2019,1/1/19,Winter Recess (schools closed),1/1/19,1/1/19,1
133,2018-2019,1/21/19,Dr. Martin Luther King Jr. Day (schools closed),1/21/19,1/21/19,1
134,2018-2019,1/28/19,"Chancellor's Conference Day for High Schools. High school students do not attend school, except those enrolled at D75 school programs.",1/28/19,1/28/19,1
135,2018-2019,2/5/19,Lunar New Year (schools closed),2/5/19,2/5/19,1
136,2018-2019,feb 18-22 2019,Midwinter Recess (schools closed),2/18/19,2/22/19,1
137,2018-2019,Apr 19-26 2019,Spring Recess (schools closed),4/19/19,4/26/19,1
138,2018-2019,5/27/19,Memorial Day (schools closed),5/27/19,5/27/19,1
139,2018-2019,6/4/19,Eid al-Fitr (schools closed),6/4/19,6/4/19,1
140,2018-2019,6/6/19,Anniversary Day (students do not attend school),6/6/19,6/6/19,1
141,2018-2019,6/11/19,"June Clerical Day. Elementary school, middle school, and D75 students do not attend school.",6/11/19,6/11/19,1
142,2018-2019,6/27/2019-9/4/2019,Summer Recess,6/27/19,9/4/19,1
143,2017-2018,9/5/17,Teachers report to school. Students will not be in attendance.,9/5/17,9/5/17,1
144,2017-2018,9/6/17,Chancellor's Conference Day for staff development. Students will not be in attendance.,9/6/17,9/6/17,1
145,2017-2018,Sept 21-22 2017,Rosh Hashanah (schools closed),9/21/17,9/22/17,1
146,2017-2018,10/9/17,Columbus Day observed (schools closed),10/9/17,10/9/17,1
147,2017-2018,11/7/17,Election Day. Chancellor's Conference Day for staff development. Students will not be in attendance.,11/7/17,11/7/17,1
148,2017-2018,Nov 23-24 2017,Thanksgiving Recess (schools closed),11/23/17,11/24/17,1
149,2017-2018,1/1/18,Winter recess (schools closed),1/1/18,1/1/18,1
150,2017-2018,Dec 25-31 2017,Winter recess (schools closed),12/25/17,12/31/17,1
151,2017-2018,1/15/18,Dr. Martin Luther King Jr. Day (schools closed),1/15/18,1/15/18,1
152,2017-2018,1/29/18,High school Chancellor's Conference Day for staff development. (District 75 high school students will still have classes.)*,1/29/18,1/29/18,1
153,2017-2018,Feb 16-23 2018,Midwinter recess (schools closed),2/16/18,2/23/18,1
154,2017-2018,April 1-6 2018,Spring recess (schools closed),4/1/18,4/6/18,1
155,2017-2018,March 30-1 2018,Spring recess (schools closed),3/30/18,3/1/18,1
156,2017-2018,5/28/18,Memorial Day (schools closed),5/28/18,5/28/18,1
157,2017-2018,6/7/18,Anniversary Day. Chancellor's Conference Day for staff development. Students will not be in attendance.,6/7/18,6/7/18,1
158,2017-2018,6/11/18,"June Clerical Day for students in elementary school, middle school and District 75 school programs.*",6/11/18,6/11/18,1
159,2017-2018,6/15/18,Eid al-Fitr (schools closed),6/15/18,6/15/18,1
160,2017-2018,6/22/18,"Regents Rating Day. In non-District 75 high schools, students  will not be in attendance. All other students will be in  attendance.",6/22/18,6/22/18,1
161,2017-2018,6/27/2018-9/4/2018,Last Day For All Students.,6/27/17,9/4/17,0
162,2021-2022,3/16/2020 - 9/13/2021,COVID,3/16/20,9/13/21,1
